,OLDID,VILLAGE,AREA,Type,LatGRS,LongGRS,Y_LO,X_LO,ORTHOH,lzon,SURVREC
545,14T/4,SERULE,2127,BM,-21.948833333333333,27.351472222222224,-36336.625,2427882.997,957.38,27.0,
546,14T/41,SEFHOPHE,2227,BM,-22.161639777777776,27.956042055555557,-98643.29,2451715.28,853.3,27.0,838
547,14T/42,SEFHOPHE,2227,BM,-22.175199000000003,27.969131305555557,-99983.93,2453225.42,842.02,27.0,838
549,14T/6,SERULE,2127,BM,-21.96452777777778,27.38508333333333,-39804.296,2429629.221,965.25,27.0,
550,14T/7,SERULE,2127,BM,-21.96875,27.40383333333333,-41739.737,2430101.75,953.02,27.0,
551,14T/8,SERULE/MOTSOTSWANE,2127,BM,-21.96933333333333,27.423194444444444,-43739.301,2430171.752,944.87,27.0,
552,14T/9,SERULE/MOTSOTSWANE,2127,BM,-21.96486111111111,27.4415,-45631.444,2429681.88,941.38,27.0,
558,14T/SPRM1,SELIBE PHIKWE,2127,BM,-21.970026722222222,27.8185465,-84573.99,2430413.6,870.19,27.0,
875,263PRh,,2027,TRIG,-20.515744527777777,27.71838502777777,-74957.77799999999,2269335.1,1391.41,27.0,
876,266PRh,,2027,TRIG,-20.47414622222222,27.521544527777777,-54441.815,2264652.089,1344.17,27.0,
877,268PRh,,2027,TRIG,-20.707444916666667,27.59009358333333,-61499.568,2290506.163,1225.91,27.0,
1000,3/103,FRANCISTOWN,2127,BM,-21.091944444444444,27.55216666666667,-57404.49,2333063.056,1034.32,27.0,
1001,3/104,FRANCISTOWN,2127,BM,-21.079416666666667,27.557583333333334,-57972.2,2331677.921,1037.7,27.0,
1004,3/106,FRANCISTOWN,2127,BM,-21.03855555555556,27.57433333333333,-59729.157,2327159.9,1045.2,27.0,
1005,3/107,FRANCISTOWN,2127,BM,-21.025222222222222,27.57986111111111,-60309.125,2325685.693,1045.9,27.0,
1007,3/109,FRANCISTOWN,2027,BM,-20.987166666666667,27.59125,-61508.683,2321476.477,1056.84,27.0,
1009,3/110,FRANCISTOWN,2027,BM,-20.97575,27.596166666666665,-62024.65,2320214.312,1064.97,27.0,
1010,3/111,FRANCISTOWN,2027,BM,-20.956611111111112,27.599916666666665,-62422.566,2318096.694,1079.09,27.0,
1011,3/112,FRANCISTOWN,2027,BM,-20.93694444444445,27.603694444444447,-62823.684,2315920.663,1086.3,27.0,
1012,3/113,FRANCISTOWN,2027,BM,-20.920250000000003,27.606944444444444,-63168.745,2314073.523,1086.42,27.0,
1013,3/114,FRANCISTOWN,2027,BM,-20.909777777777776,27.609944444444444,-63485.247,2312915.2180000003,1089.23,27.0,
1014,3/115,FRANCISTOWN,2027,BM,-20.896305555555557,27.61538888888889,-64057.394,2311425.733,1096.63,27.0,
1016,3/117,FRANCISTOWN,2027,BM,-20.864,27.621583333333334,-64715.751,2307851.341,1116.73,27.0,
1022,3/122,FRANCISTOWN,2027,BM,-20.802111111111117,27.612222222222226,-63767.624,2300995.298,1143.24,27.0,
1023,3/123,FRANCISTOWN,2027,BM,-20.792,27.601277777777774,-62632.362,2299871.517,1150.24,27.0,
1024,3/124,FRANCISTOWN,2027,BM,-20.78311111111111,27.59922222222222,-62421.999,2298886.554,1159.97,27.0,
1026,3/126,TSHESEBE,2027,BM,-20.754194444444444,27.58336111111111,-60782.053,2295678.899,1181.02,27.0,
1027,3/127,TSHESEBE,2027,BM,-20.73963888888889,27.58269444444445,-60718.43700000001,2294067.088,1185.15,27.0,
1028,3/128,TSHESEBE,2027,BM,-20.729916666666664,27.580388888888887,-60482.171,2292989.801,1189.6,27.0,
1031,3/130,TSHESEBE,2027,BM,-20.703527777777776,27.591555555555555,-61655.977,2290072.301,1206.58,27.0,
1032,3/131,TSHESEBE,2027,BM,-20.690722222222224,27.593333333333334,-61846.378,2288655.182,1208.88,27.0,
1043,3/141,RAMOKGWEBANE,2027,BM,-20.5555,27.66225,-69087.661,2273711.535,1298.27,27.0,
1044,3/142,RAMOKGWEBANE,2027,BM,-20.542,27.666305555555557,-69516.68400000001,2272218.583,1311.23,27.0,
1048,3/146,VAKARANGA,2027,BM,-20.51072222222222,27.70563888888889,-73633.718,2268772.849,1367.15,27.0,
1049,3/147,VAKARANGA,2027,BM,-20.510916666666667,27.71594444444444,-74708.61,2268799.054,1378.83,27.0,
1050,3/148M,VAKARANGA,2027,BM,-20.512694444444445,27.72208333333333,-75348.09599999999,2268998.704,1379.04,27.0,
1064,3/28,TOPISE,2227,BM,-22.20611111111111,27.255,-26323.255,2456352.103,1066.99,27.0,
1065,3/29,TOPISE,2227,BM,-22.191944444444445,27.2575,-26583.708,2454783.813,1056.93,27.0,
1066,3/3,PALAPYE,2227,BM,-22.550833333333333,27.149444444444445,-15401.069,2494510.523,914.6,27.0,
1068,3/31,TOPISE,2227,BM,-22.158055555555556,27.26361111111111,-27220.44,2451032.27,1049.72,27.0,
1069,3/32,TOPISE,2227,BM,-22.145,27.265833333333333,-27452.193,2449586.99,1035.19,27.0,
1073,3/36,TOPISE,2227,BM,-22.084166666666665,27.27611111111111,-28524.674,2442852.654,1019.98,27.0,
1075,3/38,MOREOMABELE,2227,BM,-22.051944444444445,27.281388888888888,-29075.95,2439285.623,996.52,27.0,
1077,3/4,PALAPYE,2227,BM,-22.537222222222223,4.683854166666667,-16059.8,2493003.933,917.8,27.0,
1084,3/46,SERULE,2127,BM,-21.910666666666664,27.32180555555556,-33280.935,2423650.042,930.16,27.0,
1085,3/47,SERULE,2127,BM,-21.90044444444444,27.325,-33613.41,2422518.831,934.71,27.0,
